energy,ul
5112376.103068413, 1.145163757108454e-8
7042332.90018886, 1.2316597709132242e-8
7929153.2371983025, 1.2720665221922729e-8
10171060.85043899, 1.400897948906038e-8
15220093.066128379, 1.6849886797768997e-8
19756154.99868302, 1.8705601435264272e-8
31755196.84497099, 1.9969469558930257e-8
49256484.67467434, 2.1316106121074967e-8
122852762.56801997, 2.104557952656273e-8
310179176.454497, 1.814716282971292e-8
773409139.1009479, 2.003107357928264e-8
1466960599.7001452, 2.7174032149637564e-8
1926737222.5669103, 3.114492696917413e-8
4801417214.555525, 4.297023770532905e-8
12992845131.662607, 7.713631365330577e-8
30502509130.853188, 1.2086845412573243e-7
76823328500.2238, 2.7113277867903517e-7
